date,SX5T Index
2000-01-03,6067.89
2000-01-04,5828.4
2000-01-05,5683.15
2000-01-06,5631.77
2000-01-07,5816.44
2000-01-10,5899.13
2000-01-11,5845.9
2000-01-12,5818.12
2000-01-13,5867.31
2000-01-14,6043.79
2000-01-17,6112.79
2000-01-18,5958.23
2000-01-19,5967.46
2000-01-20,5980.4
2000-01-21,5906.04
2000-01-24,5905.37
2000-01-25,5823.84
2000-01-26,5908.21
2000-01-27,5990.55
2000-01-28,5984.44
2000-01-31,5862.81
2000-02-01,5997.43
2000-02-02,6135.19
2000-02-03,6315.41
2000-02-04,6407.61
2000-02-07,6309.1
2000-02-08,6478.17
2000-02-09,6497.73
2000-02-10,6475.89
2000-02-11,6502.59
2000-02-14,6465.54
2000-02-15,6311.92
2000-02-16,6337.46
2000-02-17,6400.96
2000-02-18,6357.3
2000-02-21,6299.4
2000-02-22,6287.79
2000-02-23,6365.32
2000-02-24,6404.64
2000-02-25,6520.16
2000-02-28,6416.84
2000-02-29,6487.3
2000-03-01,6553.04
2000-03-02,6767.37
2000-03-03,6822.26
2000-03-06,6840.05
2000-03-07,6792.39
2000-03-08,6714.99
2000-03-09,6700.41
2000-03-10,6780.44
2000-03-13,6577.16
2000-03-14,6582.06
2000-03-15,6362.78
2000-03-16,6478.05
2000-03-17,6548.29
2000-03-20,6617.59
2000-03-21,6591.95
2000-03-22,6594.61
2000-03-23,6584.65
2000-03-24,6735.65
2000-03-27,6722.33
2000-03-28,6794.27
2000-03-29,6781.43
2000-03-30,6575.66
2000-03-31,6573.34
2000-04-03,6409.08
2000-04-04,6482.13
2000-04-05,6316.18
2000-04-06,6486.21
2000-04-07,6585.83
2000-04-10,6614.84
2000-04-11,6479.75
2000-04-12,6485.88
2000-04-13,6488.45
2000-04-14,6304.27
2000-04-17,6235.9
2000-04-18,6338.89
2000-04-19,6359.92
2000-04-20,6413.0
2000-04-25,6465.0
2000-04-26,6574.02
2000-04-27,6482.33
2000-04-28,6649.03
2000-05-01,6655.72
2000-05-02,6815.75
2000-05-03,6667.93
2000-05-04,6655.18
2000-05-05,6712.99
2000-05-08,6631.94
2000-05-09,6505.74
2000-05-10,6362.19
2000-05-11,6496.66
2000-05-12,6581.69
2000-05-15,6511.65
2000-05-16,6703.05
2000-05-17,6572.04
2000-05-18,6593.83
2000-05-19,6363.02
2000-05-22,6216.76
2000-05-23,6266.46
2000-05-24,6164.9
2000-05-25,6309.31
2000-05-26,6303.04
2000-05-29,6399.61
2000-05-30,6489.44
2000-05-31,6545.85
2000-06-01,6639.38
2000-06-02,6832.03
2000-06-05,6772.2
2000-06-06,6704.57
2000-06-07,6637.22
2000-06-08,6655.31
2000-06-09,6663.15
2000-06-12,6665.26
2000-06-13,6679.94
2000-06-14,6776.43
2000-06-15,6725.08
2000-06-16,6653.38
2000-06-19,6645.99
2000-06-20,6696.8
2000-06-21,6622.64
2000-06-22,6597.47
2000-06-23,6608.38
2000-06-26,6601.84
2000-06-27,6569.23
2000-06-28,6593.99
2000-06-29,6382.72
2000-06-30,6488.3
2000-07-03,6542.06
2000-07-04,6540.63
2000-07-05,6516.4
2000-07-06,6498.91
2000-07-07,6624.13
2000-07-10,6640.02
2000-07-11,6598.85
2000-07-12,6621.32
2000-07-13,6685.96
2000-07-14,6711.84
2000-07-17,6758.69
2000-07-18,6705.39
2000-07-19,6679.92
2000-07-20,6707.66
2000-07-21,6608.63
2000-07-24,6611.29
2000-07-25,6579.59
2000-07-26,6592.21
2000-07-27,6433.9
2000-07-28,6388.99
2000-07-31,6466.42
2000-08-01,6442.98
2000-08-02,6427.37
2000-08-03,6306.14
2000-08-04,6376.35
2000-08-07,6425.54
2000-08-08,6447.15
2000-08-09,6513.58
2000-08-10,6543.8
2000-08-11,6540.81
2000-08-14,6590.63
2000-08-15,6571.12
2000-08-16,6597.1
2000-08-17,6557.13
2000-08-18,6543.8
2000-08-21,6524.52
2000-08-22,6519.44
2000-08-23,6517.83
2000-08-24,6472.16
2000-08-25,6537.42
2000-08-28,6574.87
2000-08-29,6555.61
2000-08-30,6527.78
2000-08-31,6538.16
2000-09-01,6694.21
2000-09-04,6812.96
2000-09-05,6729.65
2000-09-06,6694.97
2000-09-07,6732.64
2000-09-08,6606.28
2000-09-11,6612.61
2000-09-12,6598.09
2000-09-13,6510.69
2000-09-14,6575.65
2000-09-15,6568.73
2000-09-18,6480.66
2000-09-19,6465.14
2000-09-20,6382.07
2000-09-21,6242.66
2000-09-22,6248.12
2000-09-25,6297.28
2000-09-26,6234.86
2000-09-27,6253.79
2000-09-28,6233.85
2000-09-29,6209.96
2000-10-02,6268.97
2000-10-03,6321.5
2000-10-04,6265.85
2000-10-05,6313.65
2000-10-06,6264.53
2000-10-09,6120.59
2000-10-10,6149.96
2000-10-11,5993.46
2000-10-12,5999.01
2000-10-13,6043.07
2000-10-16,6056.21
2000-10-17,6015.5
2000-10-18,5886.54
2000-10-19,6111.45
2000-10-20,6177.97
2000-10-23,6199.67
2000-10-24,6356.79
2000-10-25,6288.62
2000-10-26,6224.54
2000-10-27,6274.53
2000-10-30,6294.05
2000-10-31,6390.85
2000-11-01,6426.25
2000-11-02,6435.29
2000-11-03,6446.37
2000-11-06,6434.14
2000-11-07,6415.88
2000-11-08,6388.39
2000-11-09,6341.18
2000-11-10,6236.01
2000-11-13,6126.05
2000-11-14,6332.87
2000-11-15,6386.4
2000-11-16,6332.28
2000-11-17,6270.22
2000-11-20,6128.41
2000-11-21,6184.8
2000-11-22,6045.03
2000-11-23,6113.44
2000-11-24,6244.09
2000-11-27,6250.56
2000-11-28,6184.99
2000-11-29,6202.87
2000-11-30,6054.33
2000-12-01,6116.64
2000-12-04,5984.49
2000-12-05,6208.47
2000-12-06,6154.83
2000-12-07,6194.15
2000-12-08,6180.41
2000-12-11,6282.71
2000-12-12,6253.71
2000-12-13,6180.97
2000-12-14,6080.83
2000-12-15,5963.36
2000-12-18,5996.55
2000-12-19,6085.51
2000-12-20,5866.22
2000-12-21,5832.21
2000-12-22,5884.83
2000-12-27,5967.76
2000-12-28,6030.22
2000-12-29,6032.1
2001-01-02,5943.23
2001-01-03,5891.16
2001-01-04,6007.74
2001-01-05,5984.69
2001-01-08,5955.41
2001-01-09,5867.53
2001-01-10,5813.64
2001-01-11,5925.38
2001-01-12,5989.95
2001-01-15,6022.29
2001-01-16,5934.16
2001-01-17,6052.53
2001-01-18,6011.47
2001-01-19,5967.3
2001-01-22,5996.82
2001-01-23,5997.5
2001-01-24,6034.59
2001-01-25,6042.28
2001-01-26,6018.07
2001-01-29,6014.15
2001-01-30,5975.66
2001-01-31,6043.62
2001-02-01,5954.22
2001-02-02,5898.59
2001-02-05,5902.87
2001-02-06,5951.24
2001-02-07,5859.69
2001-02-08,5883.39
2001-02-09,5795.63
2001-02-12,5851.79
2001-02-13,5853.68
2001-02-14,5761.15
2001-02-15,5825.82
2001-02-16,5714.95
2001-02-19,5710.35
2001-02-20,5665.75
2001-02-21,5579.42
2001-02-22,5493.87
2001-02-23,5358.55
2001-02-26,5451.29
2001-02-27,5480.61
2001-02-28,5462.33
2001-03-01,5416.84
2001-03-02,5438.91
2001-03-05,5498.41
2001-03-06,5580.25
2001-03-07,5582.17
2001-03-08,5527.7
2001-03-09,5481.76
2001-03-12,5334.93
2001-03-13,5291.94
2001-03-14,5215.83
2001-03-15,5312.08
2001-03-16,5194.1
2001-03-19,5167.21
2001-03-20,5259.4
2001-03-21,5144.1
2001-03-22,4924.32
2001-03-23,5064.87
2001-03-26,5243.67
2001-03-27,5352.44
2001-03-28,5261.01
2001-03-29,5271.38
2001-03-30,5296.73
2001-04-02,5304.08
2001-04-03,5112.15
2001-04-04,5141.21
2001-04-05,5262.81
2001-04-06,5247.18
2001-04-09,5320.94
2001-04-10,5450.59
2001-04-11,5480.04
2001-04-12,5495.35
2001-04-17,5438.84
2001-04-18,5626.41
2001-04-19,5601.57
2001-04-20,5554.74
2001-04-23,5488.79
2001-04-24,5540.58
2001-04-25,5528.8
2001-04-26,5582.37
2001-04-27,5671.53
2001-04-30,5739.0
2001-05-01,5741.48
2001-05-02,5702.66
2001-05-03,5585.08
2001-05-04,5605.18
2001-05-07,5636.69
2001-05-08,5638.23
2001-05-09,5606.67
2001-05-10,5738.1
2001-05-11,5691.18
2001-05-14,5627.27
2001-05-15,5661.8
2001-05-16,5656.28
2001-05-17,5726.54
2001-05-18,5786.0
2001-05-21,5806.22
2001-05-22,5835.91
2001-05-23,5777.81
2001-05-24,5810.18
2001-05-25,5730.29
2001-05-28,5748.74
2001-05-29,5709.72
2001-05-30,5628.98
2001-05-31,5646.42
2001-06-01,5632.32
2001-06-04,5654.9
2001-06-05,5733.41
2001-06-06,5702.1
2001-06-07,5678.44
2001-06-08,5681.08
2001-06-11,5649.77
2001-06-12,5476.31
2001-06-13,5536.23
2001-06-14,5468.23
2001-06-15,5410.52
2001-06-18,5328.42
2001-06-19,5362.27
2001-06-20,5337.28
2001-06-21,5334.95
2001-06-22,5361.67
2001-06-25,5383.15
2001-06-26,5296.21
2001-06-27,5271.28
2001-06-28,5329.11
2001-06-29,5424.23
2001-07-02,5502.55
2001-07-03,5425.04
2001-07-04,5387.73
2001-07-05,5350.47
2001-07-06,5211.13
2001-07-09,5212.9
2001-07-10,5156.14
2001-07-11,5081.56
2001-07-12,5128.97
2001-07-13,5171.9
2001-07-16,5129.91
2001-07-17,5110.03
2001-07-18,5001.66
2001-07-19,5103.93
2001-07-20,5048.18
2001-07-23,5086.15
2001-07-24,5025.96
2001-07-25,4937.2
2001-07-26,5007.42
2001-07-27,5098.04
2001-07-30,5176.29
2001-07-31,5232.97
2001-08-01,5234.05
2001-08-02,5201.06
2001-08-03,5151.02
2001-08-06,5175.82
2001-08-07,5173.81
2001-08-08,5084.56
2001-08-09,4972.04
2001-08-10,4899.9
2001-08-13,4959.41
2001-08-14,5023.41
2001-08-15,4985.14
2001-08-16,4926.78
2001-08-17,4813.46
2001-08-20,4821.05
2001-08-21,4852.71
2001-08-22,4856.82
2001-08-23,4886.83
2001-08-24,4981.01
2001-08-27,4984.6
2001-08-28,4896.47
2001-08-29,4908.35
2001-08-30,4786.06
2001-08-31,4794.84
2001-09-03,4728.35
2001-09-04,4786.05
2001-09-05,4658.42
2001-09-06,4547.1
2001-09-07,4427.05
2001-09-10,4406.73
2001-09-11,4124.46
2001-09-12,4176.5
2001-09-13,4218.66
2001-09-14,3959.17
2001-09-17,4104.86
2001-09-18,4085.62
2001-09-19,3977.0
2001-09-20,3801.29
2001-09-21,3685.68
2001-09-24,3929.51
2001-09-25,3964.98
2001-09-26,4041.73
2001-09-27,4096.94
2001-09-28,4222.3
2001-10-01,4109.14
2001-10-02,4182.06
2001-10-03,4181.23
2001-10-04,4347.85
2001-10-05,4288.08
2001-10-08,4294.99
2001-10-09,4299.73
2001-10-10,4442.79
2001-10-11,4496.89
2001-10-12,4481.65
2001-10-15,4347.1
2001-10-16,4426.08
2001-10-17,4524.06
2001-10-18,4429.45
2001-10-19,4364.16
2001-10-22,4458.09
2001-10-23,4586.49
2001-10-24,4623.83
2001-10-25,4513.39
2001-10-26,4626.69
2001-10-29,4518.66
2001-10-30,4374.13
2001-10-31,4456.79
2001-11-01,4495.64
2001-11-02,4488.33
2001-11-05,4621.21
2001-11-06,4599.67
2001-11-07,4655.23
2001-11-08,4771.68
2001-11-09,4697.17
2001-11-12,4571.31
2001-11-13,4764.06
2001-11-14,4751.74
2001-11-15,4745.95
2001-11-16,4796.68
2001-11-19,4863.67
2001-11-20,4801.58
2001-11-21,4779.51
2001-11-22,4831.08
2001-11-23,4833.52
2001-11-26,4809.62
2001-11-27,4716.73
2001-11-28,4653.58
2001-11-29,4650.51
2001-11-30,4687.54
2001-12-03,4671.31
2001-12-04,4728.62
2001-12-05,4897.19
2001-12-06,4906.11
2001-12-07,4860.1
2001-12-10,4767.0
2001-12-11,4798.21
2001-12-12,4731.37
2001-12-13,4622.28
2001-12-14,4572.92
2001-12-17,4731.96
2001-12-18,4716.2
2001-12-19,4678.99
2001-12-20,4635.37
2001-12-21,4736.56
2001-12-24,4737.25
2001-12-27,4841.57
2001-12-28,4877.12
2002-01-02,4812.9
2002-01-03,4912.26
2002-01-04,4896.01
2002-01-07,4811.43
2002-01-08,4772.5
2002-01-09,4771.15
2002-01-10,4699.18
2002-01-11,4738.45
2002-01-14,4599.82
2002-01-15,4662.23
2002-01-16,4584.56
2002-01-17,4677.91
2002-01-18,4666.55
